Code_x,Description,Code_y
A4K,"Dune Lake, AK: Dune Lake Airport",16698
A50,"Big Bay, AK: Big Bay Airport",10063
A51,"Wien Lake, AK: Wien Lake Airport",10064
A52,"Silver Salmon Creek, AK: Silver Salmon Creek Airport",10065
A53,"Blear Lake, AK: Blear Lake Airport",10066
A54,"Cannery Bay, AK: Cannery Bay Airport",10067
A56,"Bear Lake, AK: Johnsons Landing",10069
A57,"International Seafoods, AK: International Seafoods Airport",10070
VZK,"International Seafoods, AK: International Seafoods Airport",10070
A58,"Cosna River, AK: Cosna River Airport",10071
A59,"Ivatuk, AK: Ivatuk Airport",10072
A5K,"Paxson, AK: Paxson Airport",16803
A61,"Cape Sarichef, AK: Cape Sarichef Airport",10074
A62,"Taylor Mountain Mine, AK: Taylor Mountain",10075
A63,"Yukon Charley Rivvers, AK: Coal Creek",10076
A65,"Karluk Portage, AK: Karluk Portage Airport",10078
A66,"Hope, AK: Hope Airport",10079
A67,"Viekoda Bay, AK: Viekoda Bay Airport",10080
A69,"Cold Bay, AK: Cathedral Strip",10082
A6K,"Fairbanks1, AK: Van Curlers Sandbar",16720
A70,"Village Islands, AK: Village Islands Airport",10083
A71,"Homer, AK: Bear Cove Farm",10084
A72,"Chinitna Bay, AK: Chinitna Bay Airport",10085
A73,"McKinley Park, AK: McKinley National Park",10086
A74,"Nanwalek, AK: Dog Fish Bay",10087
A75,"Malina Bay, AK: Malina Bay Airport",10088
A76,"Red Fox Bay, AK: Red Fox Bay Airport",10089
A77,"Shearwater, AK: Shearwater Airport",10090
A78,"Cape Simpson, AK: Lake",10091
A79,"Cape Simpson, AK: Cape Simpson No. 1",10092
A7K,"Nakochna, AK: Nakochna Airport",16723
A80,"Cape Simpson, AK: Cape Simpson No. 7",10093
A81,"Aglaq, AK: Cape Simpson #1",10094
A82,"Nikiski, AK: Nikiski Private Airstrip",10095
A83,"Petrof Point, AK: Petrof Point Airport",10096
A84,"Denali, AK: Denali West Lodge Private",10097
A85,"Big River, AK: Big River Airport",10098
A87,"Carry Inlet, AK: Carry Inlet Airport",10100
A89,"Montague Island, AK: Montague Island Airport",10102
A8K,"Granite Point, AK: Granite Point Ndb",15934
A90,"Shannon Pond, AK: Shannon Pond Airport",10103
A91,"Omalik Lagoon, AK: Omalik Lagoon Airport",10104
A92,"Omolik Lagoon, AK: Omolik Lagoon Airport",10105
A93,"Bradley Lake Project, AK: Bradley Lake Project Airport",10106
A94,"Barrow, AK: Ice Strip",10107
A94,"Barrow, AK: Ice Strip",10108
A94,"Barrow, AK: Ice Strip",10109
A95,"Barrow, AK: Ice Strip",10107
A95,"Barrow, AK: Ice Strip",10108
A95,"Barrow, AK: Ice Strip",10109
A96,"Barrow, AK: Ice Strip",10107
A96,"Barrow, AK: Ice Strip",10108
A96,"Barrow, AK: Ice Strip",10109
A97,"Akulik, AK: Akulik Air Strip",10110
A98,"Deadfall, AK: Deadfall Air Strip",10111
A99,"Eagle Creek, AK: Eagle Creek Airport",10112
A9K,"Healy, AK: Era Denali Heliport",16985
AA1,"Bethel, AK: Ice Kong",10113
AA2,"Naknek-1, AK: Icicle Seafoods",16662
AA4,"Kachemak Bay, AK: Glacier Split",10116
AA5,"Selby Lake, AK: Selby Lake Airport",10117
AA7,"Independence Creek, AK: Independence Creek Airport",16472
AA8,"Deadhorse, AK: Badami",11381
AA9,"Napaimute, AK: Napaimute Pioneer Airfield",16804
AAA,"Anaa, French Polynesia: Anaa Airport",10118
AAB,"Arrabury, Australia: Arrabury Station",10119
AAC,"El Arish, Egypt: El Arish International",10120
AAD,"Ad-Dabbah, Sudan: Ad-Dabbah Airport",16385
AAE,"Annaba, Algeria: Rabah Bitat",10121
AAF,"Apalachicola, FL: Apalachicola Regional Cleve Randolph Field",10122
AAH,"Aachen, Germany: Aachen Merzbrueck",10123
AAI,"Arraias, Brazil: Arraias Airport",10124
AAL,"Aalborg, Denmark: Aalborg Airport",10125
AAM,"Mala Mala, South Africa: Malamala",10126
AAN,"Al Ain, United Arab Emirates: Al Ain International",10127
AAO,"Anaco, Venezuela: Anaco Airport",10128
AAQ,"Anapa, Russia: Vityazevo",10129
AAR,"Aarhus, Denmark: Aarhus Airport",10130
AAU,"Asau, Samoa: Asau W Sam",10131
AAX,"Araxa, Brazil: Romeu Zema",10132
ABA,"Abakan, Russia: Abakan Airport",16387
ABD,"Abadan, Iran: Abadan Airport",10134
ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",10135
ABI,"Abilene, TX: Abilene Regional",10136
ABJ,"Abidjan, Cote d'Ivoire: Felix Houphouet Boigny Abidjan International",10137
ABK,"Kabri Dar, Ethiopia: Kebri Dahar",10138
ABL,"Ambler, AK: Ambler River",10139
ABQ,"Albuquerque, NM: Albuquerque International Sunport",10140
ABR,"Aberdeen, SD: Aberdeen Regional",10141
ABS,"Abu Simbel, Egypt: Abu Simbel Airport",10142
ABT,"Al-Baha, Saudi Arabia: King Saud Bin Abdulaziz",10143
ABV,"Abuja, Nigeria: Nnamdi Azikiwe International",10144
ABX,"Albury, Australia: Albury Airport",10145
ABY,"Albany, GA: Southwest Georgia Regional",10146
ABZ,"Aberdeen, United Kingdom: Aberdeen Dyce",10147
ACA,"Acapulco, Mexico: Acapulco International",10148
ACB,"Bellaire, MI: Antrim County",10149
ACC,"Accra, Ghana: Kotoka International",10150
ACE,"Arrecife, Spain: Lanzarote",10151
ACH,"Altenrhein, Switzerland: St Gallen Altenrhein",10152
ACI,"Alderney, United Kingdom: Alderney Airport",10153
ACK,"Nantucket, MA: Nantucket Memorial",10154
ACT,"Waco, TX: Waco Regional",10155
ACU,"Achutupo, Panama: Achutupo Airport",10156
ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",10157
ACY,"Atlantic City, NJ: Atlantic City International",10158
ADA,"Adana, Turkey: Adana International",10159
ADB,"Izmir, Turkey: Adnan Menderes",10160
ADC,"Andakombe, Papua New Guinea: Andakombe Airport",10161
ADD,"Addis Ababa, Ethiopia: Bole International",10162
ADE,"Aden, Yemen: Aden International",10163
ADJ,"Amman, Jordan: Marka International",10164
ADK,"Adak Island, AK: Adak",10165
ADL,"Adelaide, Australia: Adelaide International",10166
ADM,"Ardmore, OK: Ardmore Municipal",10167
ADN,"Andes, Colombia: Andes Airport",10168
ADO,"Andamooka, Australia: Andamooka Airport",10169
ADQ,"Kodiak, AK: Kodiak Airport",10170
ADS,"Dallas, TX: Addison",10171
ADT,"Ada, OK: Ada Regional",16426
ADW,"Camp Springs, MD: Joint Base Andrews",10172
ADW,"Camp Springs, MD: Joint Base Andrews",13748
NSF,"Camp Springs, MD: Joint Base Andrews",10172
NSF,"Camp Springs, MD: Joint Base Andrews",13748
ADX,"St Andrews, United Kingdom: RAF Leuchars",10173
ADZ,"San Andres Island, Colombia: Gustavo Rojas Pinilla",10174
AE1,"Liwa, United Arab Emirates: Liwa Airbase",16592
AE2,"Sweihan, United Arab Emirates: Sweihan Airbase",16772
AED,"Aleneva, AK: Aleneva Airport",10176
AEG,"Padang Sidempuan, Indonesia: Aek Godang",10177
AEH,"Abeche, Chad: Abeche Airport",10178
AEO,"Aioun El Atrouss, Mauritania: Aioun El Atrouss Airport",10180
AEP,"Buenos Aires, Argentina: Aeroparque Jorge Newbery",10181
AER,"Adler/Sochi, Russia: Adler/Sochi Airport",10182
AES,"Aalesund, Norway: Alesund",10183
AET,"Allakaket, AK: Allakaket Airport",10184
AEX,"Alexandria, LA: Alexandria International",10185
AEY,"Akureyri, Iceland: Akureyri Airport",10186
AF2,"Lashkar Gah, Afghanistan: Bastion Airfield",16461
AF3,"Dwyer, Afghanistan: Dwyer Airport",16557
AF4,"Shindand, Afghanistan: Shindand Airport",16559
AFA,"San Rafael, Argentina: San Rafael Airport",10188
