Code_x,Description,Code_y
CAZ,"Cobar, Australia: Cobar Airport",10885
CBA,"Corner Bay, AK: Corner Bay Airport",10886
CBB,"Cochabamba, Bolivia: Jorge Wilstermann International",10887
CBE,"Cumberland, MD: Greater Cumberland Regional",10888
CBF,"Council Bluffs, IA: Council Bluffs Municipal",10889
CBG,"Cambridge, United Kingdom: Cambridge Airport",10890
CBH,"Colomb-Bechar, Algeria: Bechar/Leger",10891
CBK,"Colby, KS: Murray",10892
CBL,"Ciudad Bolivar, Venezuela: Ciudad Bolivar Airport",10893
CBM,"Columbus, MS: Columbus AFB",10894
CBO,"Cotabato, Philippines: Cotabato Airport",10895
CBQ,"Calabar, Nigeria: Margaret Ekpo International",10896
CBR,"Canberra, Australia: Canberra Airport",10897
CBV,"Coban, Guatemala: Coban Airport",10898
CBY,"Canobie, Australia: Canobie Airport",10899
CCC,"Cayo Coco, Cuba: Jardines del Rey International",10900
CCE,"Grand Case, Saint Martin: Grand Case Airport",13471
CCF,"Carcassonne, France: Carcassonne Salvaza",10902
CCH,"Chile Chico, Chile: Chile Chico Airport",10903
CCI,"Concordia, Brazil: Olavo Cecco Rigon",10904
CCJ,"Calicut, India: Calicut International",10905
CCK,"West Island, Cocos (Keeling) Islands: Cocos Keeling Islands",10906
CCM,"Crisciuma, Brazil: Criciuma",10907
CCN,"Chakhcharan, Afghanistan: Chakhcharan Airport",10908
CCP,"Concepcion, Chile: Carriel Sur International",10909
CCR,"Concord, CA: Buchanan Field",10910
CCS,"Caracas, Venezuela: Simon Bolivar International",10911
CCU,"Kolkata, India: Netaji Subhash Chandra Bose International",10912
CCX,"Caceres, Brazil: Caceres Airport",10914
CCY,"Charles City, IA: Northeast Iowa Regional",10915
CCZ,"Chub Cay, The Bahamas: Chub Cay Airport",10916
CD1,"Katanga, Congo (Kinshasa): Kamina",16735
CD2,"Orientale, Congo (Kinshasa): Dungu",16747
CDB,"Cold Bay, AK: Cold Bay Airport",10917
CDC,"Cedar City, UT: Cedar City Regional",10918
CDF,"Cortina d'Ampezzo, Italy: Cortina d'Ampezzo Airport",10919
CDG,"Paris, France: Charles de Gaulle",10920
CDH,"Camden, AR: Harrell Field",10921
CDJ,"Conceicao Do Araguaia, Brazil: Conceicao Do Araguaia Airport",10922
CDL,"Candle, AK: Candle 2",10923
CDN,"Camden, SC: Woodward Field",10924
CDR,"Chadron, NE: Chadron Municipal",10925
CDV,"Cordova, AK: Merle K Mudhole Smith",10926
CDW,"Caldwell, NJ: Essex County",10927
CEA,"Wichita, KS: Cessna Aircraft Field",10928
CEB,"Lapu-Lapu City, Philippines: Mactan-Cebu International",10929
CEC,"Crescent City, CA: Jack McNamara Field",10930
CED,"Ceduna, Australia: Ceduna Airport",10931
CEF,"Chicopee Falls, MA: Westover ARB Metropolitan",10933
CEG,"Chester, United Kingdom: Hawarden",10934
CEI,"Chiang Rai, Thailand: Chiang Rai Airport",10935
CEK,"Chelyabinsk, Russia: Balandino",10936
CEL,"Cape Eleuthera, The Bahamas: Cape Eleuthera Airport",10937
CEM,"Central, AK: Central Airport",10938
CEN,"Ciudad Obregon, Mexico: Ciudad Obregon International",10939
CEO,"Waco Kungo, Angola: Waco Kungo Airport",10940
CEP,"Concepcion, Bolivia: Concepcion Airport",10941
CEQ,"Cannes, France: Cannes Mandelieu",10942
CER,"Cherbourg, France: Cherbourg Manche",10943
CET,"Cholet, France: Cholet Le Pontreau",10944
CEU,"Clemson, SC: Oconee County Regional",10945
CEV,"Connersville, IN: Mettel Field",10946
CEW,"Crestview, FL: Bob Sikes",10947
CEX,"Chena Hot Springs, AK: Chena Hot Springs Airport",10948
CEY,"Murray, KY: Kyle-Oakley Field",10949
CEZ,"Cortez, CO: Cortez Municipal",10950
CFA,"Coffee Point, AK: Coffee Point Airport",10951
CFB,"Cabo Frio, Brazil: Cabo Frio International",10952
CFE,"Clermont-Ferrand, France: Clermont Ferrand Auvergne",10953
CFG,"Cienfuegos, Cuba: Jaime Gonzalez International",10954
CFN,"Carrickfinn, Ireland: Donegal",16977
CFQ,"Silver City, Canada: Silver City Airport",10955
CFR,"Caen, France: Caen Carpiquet",10956
CFS,"Coffs Harbour, Australia: Coffs Harbour Airport",10957
CFT,"Clifton, AZ: Greenlee County",10958
CFU,"Corfu, Greece: Ioannis Kapodistrias International",10959
CFV,"Coffeyville, KS: Coffeyville Municipal",10960
CGA,"Craig, AK: Craig Seaplane Base",10961
CGB,"Cuiaba, Brazil: Marechal Rondon International",10962
CGC,"Cape Gloucester, Papua New Guinea: Cape Gloucester Airport",10963
CGE,"Cambridge, MD: Cambridge Dorchester Regional",10964
CGF,"Cleveland, OH: Cuyahoga County",10965
CGH,"Sao Paulo, Brazil: Congonhas",10966
CGI,"Cape Girardeau, MO: Cape Girardeau Regional",10967
CGK,"Jakarta, Indonesia: Soekarno-Hatta International",10968
CGM,"Camiguin, Philippines: Camiguin Airport",10969
CGN,"Cologne, Germany: Koeln Bonn",10970
CGO,"Zhengzhou, China: Xinzheng",10971
CGP,"Chittagong, Bangladesh: Chittagong Airport",10972
CGQ,"Changchun, China: Longjia",16467
CGR,"Campo Grande, Brazil: Campo Grande International",10974
CGS,"College Park, MD: College Park Airport",10975
CGU,"Ciudad Guayana, Venezuela: Ciudad Guayana Metropolitan Area",10976
CGX,"Chicago, IL: Meigs Field",10977
CGY,"Cagayan, Philippines: Cagayan de Oro Mil",10978
CGZ,"Casa Grande, AZ: Casa Grande Municipal",10979
CH1,"Payerne, Switzerland: Payerne Airport",16866
CHA,"Chattanooga, TN: Lovell Field",10980
CHC,"Christchurch, New Zealand: Christchurch International",10981
CHD,"Chandler, AZ: Chandler Municipal",10982
CHE,"Caherciveen, Ireland: Caherciveen Reenroe",10983
CHF,"Chinhae, South Korea: Jinhae",10984
CHG,"Chaoyang, China: Chaoyang Airport",10985
CHI,"Chicago, IL: Chicago Metropolitan Area",10986
CHL,"Challis, ID: Challis Airport",10987
QCG,"Challis, ID: Challis Airport",10987
CHM,"Chimbote, Peru: Teniente Jaime A. de Montreuil Morales",10988
CHO,"Charlottesville, VA: Charlottesville Albemarle",10990
CHP,"Circle Hot Springs, AK: Circle Hot Springs Airport",10991
CHQ,"Chania, Greece: Souda",10992
CHR,"Chateauroux, France: Chateauroux Airport",10993
CHS,"Charleston, SC: Charleston AFB/International",10994
CHT,"Chatham Islands, New Zealand: Chatham Islands Airport",10995
CHU,"Chuathbaluk, AK: Chuathbaluk Airport",10996
CHW,"Jiuquan, China: Jiayuguan",10997
CHX,"Changuinola, Panama: Changuinola 1",10998
CHZ,"Chiloquin, OR: Chiloquin State",10999
CIA,"Rome, Italy: Ciampino",11000
CIC,"Chico, CA: Chico Regional",11002
CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",11003
CIG,"Craig, CO: Craig-Moffat",11004
CIH,"Changzhi, China: Changzhi Airport",11005
CIJ,"Cobija, Bolivia: Cap Av Civ Anibal Arab Fadul International",11006
CIK,"Chalkyitsik, AK: Chalkyitsik Airport",11007
CIL,"Council, AK: Council Airport",11008
CIN,"Carroll, IA: Arthur N Neu",11009
CIP,"Chipata, Zambia: Chipata Airport",11010
CIR,"Cairo, IL: Cairo Regional",11011
CIT,"Shimkent, Kazakhstan: Shymkent",16824
CIU,"Sault Ste. Marie, MI: Chippewa County International",11013
CIV,"Chomley, AK: Chomley Airport",11014
CIW,"Canouan, Saint Vincent and the Grenadines: Canouan Airport",11015
CIX,"Chiclayo, Peru: Cap FAP Jose A Quinones Gonzales International",11016
CIY,"Comiso, Italy: Comiso Airport",11017
CJ8,"Saskatchewan, Canada: Macklin",16885
CJA,"Cajamarca, Peru: Gen FAP Armando Revoredo Iglesias",11018
CJB,"Coimbatore, India: Coimbatore International",11019
CJC,"Calama, Chile: El Loa",11020
CJI,"Crafton Island, AK: Crafton Island Airport",11021
CJJ,"Cheongju, South Korea: Cheongju International",16507
CJL,"Chitral, Pakistan: Chitral Airport",11023
CJR,"Culpeper, VA: Culpeper Regional",14371
CJS,"Ciudad Juarez, Mexico: Ciudad Juarez International",11024
CJU,"Jeju, South Korea: Jeju International",11025
CJW,"Clay Center, KS: Clay Center Municipal",11026
CKB,"Clarksburg/Fairmont, WV: North Central West Virginia",11027
CKD,"Crooked Creek, AK: Crooked Creek Airport",11028
CKE,"Clear Lake, CA: Pearce Field",11029
CKG,"Chongqing, China: Jiangbei",11030
CKM,"Clarksdale, MS: Fletcher Field",11031
CKO,"Cornelio Procopio, Brazil: Cornelio Procopio Airport",16407
CKS,"Carajas, Brazil: Carajas Airport",11033
CKU,"Cordova, AK: Cordova Municipal",11034
CKV,"Clarksville, TN: Outlaw Field",11035
CKX,"Chicken, AK: Chicken Airport",11036
CKY,"Conakry, Guinea: Ahmed Sekou Toure International",11037
CLA,"Comilla, Bangladesh: Cumilla",11038
CLB,"Castlebar, Ireland: Castlebar Airport",11039
CLC,"Clear Lake City, TX: Clear Lake Metroport",11040
CLD,"Carlsbad, CA: McClellan-Palomar",11041
CLE,"Cleveland, OH: Cleveland-Hopkins International",11042
CLF,"Clear, AK: Clear Mews",11043
CLG,"Coalinga, CA: New Coalinga Municipal",11044
CLH,"Coolah, Australia: Coolah Airport",11045
CLI,"Clintonville, WI: Clintonville Municipal",11046
CLJ,"Cluj-Napoca, Romania: Avram Iancu",11047
CLK,"Clinton, OK: Clinton Regional",11048
CLL,"College Station/Bryan, TX: Easterwood Field",11049
CLM,"Port Angeles, WA: William R. Fairchild International",11050
CLN,"Carolina, Brazil: Carolina Airport",11051
CLO,"Cali, Colombia: Alfonso Bonilla Aragon International",11052
CLP,"Clarks Point, AK: Clarks Point Airport",11053
CLQ,"Colima, Mexico: Colima Airport",11054
CLR,"Calipatria, CA: Cliff Hatfield Memorial",11055
CLS,"Chehalis, WA: Chehalis Centralia",11056
CLT,"Charlotte, NC: Charlotte Douglas International",11057
CLU,"Columbus, IN: Columbus Municipal",11058
CLY,"Calvi, France: Calvi Sainte Catherine",11059
CMA,"Cunnamulla, Australia: Cunnamulla Airport",11060
CMB,"Colombo, Sri Lanka: Bandaranaike International Colombo",11061
CMD,"Cootamundra, Australia: Cootamundra Airport",11062
CME,"Ciudad del Carmen, Mexico: Ciudad del Carmen International",11063
CMF,"Chambery, France: Chambery Aix Les Bains",11064
CMG,"Corumba, Brazil: Corumba International",11065
CMH,"Columbus, OH: John Glenn Columbus International",11066
CMI,"Champaign/Urbana, IL: University of Illinois/Willard",11067
CMJ,"Chi Mei, Taiwan: Chi Mei Airport",11068
CMM,"Carmelita, Guatemala: Carmelita Airport",11069
CMN,"Casablanca, Morocco: Mohammed V International",11070
CMR,"Colmar, France: Colmar Houssen",11071
CMT,"Cameta, Brazil: Cameta Airport",11072
CMU,"Kundiawa, Papua New Guinea: Chimbu",11073
CMV,"Coromandel, New Zealand: Coromandel Airport",11074
CMW,"Camaguey, Cuba: Ignacio Agramonte International",11075
CMX,"Hancock/Houghton, MI: Houghton County Memorial",11076
CN2,"Nimmo Bay, Canada: Mimmo Bay Water Aerodrome",16610
CN4,"Princess Lousia Inlet, Canada: Princess Louisa Marina Provincial Park",16612
CN5,"Rendezvous Islands, Canada: Rendezvous Islands Water Aerodrome",16615
CN6,"Shawl Bay, Canada: Shawl Bay Water Aerodrome",16616
CN7,"Shoal Bay, Canada: Shoal Bay Water Aerodrome",16617
CN9,"Sointula, Canada: Sointula Water Aerodrome",16618
CNA,"Cananea, Mexico: Cananea Airport",11077
CNB,"Coonamble, Australia: Coonamble Airport",11078
CNC,"Coconut Island, Australia: Coconut Island Airport",11079
CND,"Constanta, Romania: Rum Kogalniceanu",11080
CNE,"Canon City, CO: Fremont County",11081
CNF,"Belo Horizonte, Brazil: Tancredo Neves International",11082
CNK,"Concordia, KS: Blosser Municipal",11083
CNL,"Sindal, Denmark: Sindal Airport",11084
CNM,"Carlsbad, NM: Cavern City Air Terminal",11085
CNO,"Chino, CA: Chino Airport",11086
CNQ,"Corrientes, Argentina: Corrientes Airport",11087
CNR,"Chanaral, Chile: Chanaral Airport",11088
CNS,"Cairns, Australia: Cairns International",11089
CNW,"Waco, TX: TSTC Waco",11090
CNX,"Chiang Mai, Thailand: Chiang Mai International",11091
CNY,"Moab, UT: Canyonlands Regional",11092
CO1,"Monte Vista, CO: Monte Vista Municipal",16770
CO3,"Marina, CA: Marina Municipal",11093
CO4,"Melgar, Colombia: Tolemaida AB",11094
CO5,"Uribia, Colombia: Puerto Bolivar",16565
CO6,"Buena, CO: Central Colorado Regional",16823
CO7,"Meeker, CO: Meeker Coulter Field",16918
COA,"Columbia, CA: Columbia Airport",11095
COC,"Concordia, Argentina: Comodoro Pierrestegui",11096
COD,"Cody, WY: Yellowstone Regional",11097
COE,"Coeur d'Alene, ID: Coeur d'Alene - Pappy Boyington Field",11098
COF,"Cocoa Beach, FL: Patrick Sfb",11099
COG,"Condoto, Colombia: Mandinga",11100
COH,"Cooch Behar, India: Cooch Behar Airport",11101
COJ,"Coonabarabran, Australia: Coonabarabran Airport",11102
COK,"Kochi, India: Cochin International",11103
COL,"Coll Island, United Kingdom: Coll",11104
COM,"Coleman, TX: Coleman Municipal",11105
CON,"Concord, NH: Concord Municipal",11106
COO,"Cotonou, Benin: Card Bernardin Gadin de Cadjehoun International",11107
COR,"Cordoba, Argentina: Ambrosio L. V. Taravella",11108
COS,"Colorado Springs, CO: City of Colorado Springs Municipal",11109
COT,"Cotulla, TX: Cotulla-La Salle County",11110
COU,"Columbia, MO: Columbia Regional",11111
COY,"Coolawanyah, Australia: Coolawanyah Airport",11112
CPA,"Cape Palmas, Liberia: Cape Palmas Airport",11113
CPB,"Capurgana, Colombia: Capurgana Airport",11114
CPC,"Chapelco, Argentina: Aviador C. Campos",11115
CPD,"Coober Pedy, Australia: Coober Pedy Airport",11116
CPE,"Campeche, Mexico: Campeche International",11117
CPH,"Copenhagen, Denmark: Kastrup",11118
CPN,"Cape Rodney, Papua New Guinea: Cape Rodney Airport",11119
CPO,"Copiapo, Chile: Desierto de Atacama",16403
CPQ,"Campinas, Brazil: Viracopos International",11121
CPR,"Casper, WY: Casper/Natrona County International",11122
CPS,"St. Louis, MO: Bi-State Parks",11123
CPT,"Cape Town, South Africa: Cape Town International",11124
CPV,"Campina Grande, Brazil: Presidente Joao Suassuna",11125
CPX,"Culebra, PR: Benjamin Rivera Noriega",11126
CQF,"Calais, France: Calais Marck",11127
CQL,"Carbondale, CO: Glen-Aspen",11128
CQM,"Ciudad Real, Spain: Ciudad Real Airport",16892
CQW,"Cheraw, SC: Cheraw Municipal/Lynch Bellinger Field",11130
HCW,"Cheraw, SC: Cheraw Municipal/Lynch Bellinger Field",11130
CRA,"Craiova, Romania: Craiova Airport",11131
CRB,"Collarenebri, Australia: Collarenebri Airport",11132
CRC,"Cartago, Colombia: Cartago Airport",11133
CRD,"Comodoro Rivadavia, Argentina: Comodoro Rivadavia Airport",11134
CRE,"Myrtle Beach, SC: Grand Strand",11135
CRG,"Jacksonville, FL: Jacksonville Executive at Craig",11136
CRI,"Crooked Island, The Bahamas: Colonel Hill",11137
CRK,"Luzon Island, Philippines: Diosdado Macapagal International",11138
CRL,"Charleroi, Belgium: Brussels South",11139
CRP,"Corpus Christi, TX: Corpus Christi International",11140
CRQ,"Caravelas, Brazil: Caravelas Airport",11141
CRR,"Ceres, Argentina: Ceres Airport",11142
CRS,"Corsicana, TX: C David Campbell Field-Corsicana Municipal",11143
CRU,"Carriacou, Grenada: Lauriston",11144
CRV,"Crotone, Italy: Crotone Airport",11145
CRW,"Charleston/Dunbar, WV: West Virginia International Yeager",11146
CRX,"Corinth, MS: Roscoe Turner",11147
CRZ,"Turkmenabat, Turkmenistan: Turkmenabat Airport",16893
CSD,"Cresswell Downs, Australia: Cresswell Downs Airport",11148
CSE,"Crested Butte, CO: Crested Butte Airpark",11149
CSG,"Columbus, GA: Columbus Airport",11150
CSI,"Casino, Australia: Casino Airport",11151
CSL,"Cabo San Lucas, Mexico: Cabo San Lucas International",16443
CSM,"Clinton, OK: Clinton Sherman",11152
CSN,"Carson City, NV: Carson City Airport",11153
CSP,"Cape Spencer, AK: Cape Spencer C.G. Helipad",11154
CSR,"Casuarito, Colombia: Casuarito Airport",11155
CSS,"Cassilandia, Brazil: Cassilandia Airport",11156
CST,"Castaway, Fiji: Castaway Airport",11157
CSU,"Cape Sabine, AK: Cape Sabine Airport",11158
CSV,"Crossville, TN: Crossville Memorial-Whitson Field",11159
CSX,"Changsha, China: Huanghua",11160
CT1,"Plainville, CT: Robertson Field",16441
CT2,"Simsbury, CT: Simsbury Airport",16495
CT3,"Willimantic, CT: Windham",16594
CT4,"New Milford, CT: Candlelight Farms",16644
CT5,"Danielson, CT: Danielson Airport",16656
CT6,"East Haddam, CT: Goodspeed",16681
CT7,"Chester, CT: Chester Airport",16871
CT8,"Belie Haven, CT: Sbctbh",16967
CTA,"Catania, Italy: Catania-Fontanarossa",11161
CTB,"Cut Bank, MT: Cut Bank International",11162
CTC,"Catamarca, Argentina: Catamarca Aeroclub",11163
CTG,"Cartagena, Colombia: Rafael Nunez",11164
CTH,"Coatesville, PA: Chester County G. O. Carlson",11165
CTL,"Charleville, Australia: Charleville Airport",11166
CTM,"Chetumal, Mexico: Chetumal International",11167
CTN,"Cooktown, Australia: Cooktown Airport",11168
CTO,"Calverton, NY: Calverton Executive Airpark",11169
CTS,"Sapporo, Japan: New Chitose",11170
CTT,"Le Castellet, France: Le Castellet Airport",11171
CTU,"Chengdu, China: Shuangliu International",11172
CTW,"Cottonwood, AZ: Cottonwood Airport",11173
CTX,"Cortland, NY: Cortland County Chase Field",11174
CTY,"Cross City, FL: Cross City Airport",11175
CTZ,"Clinton, NC: Clinton Sampson County",16538
CUB,"Columbia, SC: Jim Hamilton L. B. Owens",11176
CUC,"Cucuta, Colombia: Camilo Daza",11177
CUE,"Cuenca, Ecuador: Cuenca Airport",11178
CUF,"Cuneo, Italy: Levaldigi",11179
CUL,"Culiacan, Mexico: Culiacan International",11180
CUM,"Cumana, Venezuela: Cumana Airport",11181
CUN,"Cancun, Mexico: Cancun International",11032
CUP,"Carupano, Venezuela: General Jose Francisco Bermudez",11183
CUQ,"Coen, Australia: Coen Airport",11184
CUR,"Willemstad, Curacao: Hato",11185
CUT,"Cutral-Co, Argentina: Cutral-Co Airport",11186
CUU,"Chihuahua, Mexico: Chihuahua International",11187
CUW,"Cube Cove, AK: Cube Cove Airport",11188
CUY,"Cue, Australia: Cue Airport",11189
CUZ,"Cusco, Peru: Teniente Alejandro Velasco Astete International",11190
CVA,"Pittsburgh, PA: Civic Arena H/P",11191
CVF,"Courchevel, France: Courchevel Airport",11192
CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",11193
CVJ,"Cuernavaca, Mexico: Cuernavaca International",11194
CVL,"Cape Vogel, Papua New Guinea: Cape Vogel Airport",11195
CVM,"Ciudad Victoria, Mexico: Ciudad Victoria International",11196
CVN,"Clovis, NM: Clovis Regional",11197
CVO,"Corvallis, OR: Corvallis Municipal",11198
CVQ,"Carnarvon, Australia: Carnarvon Airport",11199
CVS,"Clovis, NM: Cannon AFB",11200
CVT,"Coventry, United Kingdom: Coventry Airport",11201
CVX,"Charlevoix, MI: Charlevoix Municipal",11202
CWA,"Mosinee, WI: Central Wisconsin",11203
CWB,"Curitiba, Brazil: Afonso Pena International",11204
CWC,"Chernivtsi, Ukraine: Chernivtsi International",16878
CWF,"Lake Charles, LA: Chennault International",15825
CWI,"Clinton, IA: Clinton Municipal",11207
CWL,"Cardiff, United Kingdom: Cardiff Airport",11208
CWS,"Center Island, WA: Center Island Airport",11209
CWT,"Cowra, Australia: Cowra Airport",11210
CXA,"Caicara, Venezuela: Caicara Venez.",11211
CXB,"Cox's Bazar, Bangladesh: Cox's Bazar Airport",11212
CXC,"Chitina, AK: Chitina Airport",11213
CXF,"Coldfoot, AK: Coldfoot Airport",11214
CXH,"Vancouver, Canada: Coal Harbour Seaplane Base",11215
CXI,"Christmas Island, Kiribati: Christmas Island Airport",11216
CXJ,"Caxias Do Sul, Brazil: Hugo Cantergiani",11217
CXL,"Calexico, CA: Calexico International",11218
CXO,"Conroe, TX: Conroe North Houston Regional",11219
CXP,"Cilacap, Indonesia: Tunggul Wulung",11220
CXR,"Can Ranh, Vietnam: Cam Ranh International",16797
CXT,"Charters Towers, Australia: Charters Towers Airport",11222
CXY,"Cat Cay, The Bahamas: Cat Cay Airport",11223
CYA,"Les Cayes, Haiti: Cayes",11224
CYB,"Cayman Brac, Cayman Islands: Charles Kirkconnell International",11225
CYC,"Caye Chapel, Belize: Caye Chapel Airport",11226
CYF,"Chefornak, AK: Chefornak Airport",11227
CYI,"Chiayi, Taiwan: Chiayi Airport",11229
CYM,"Chatham, AK: Chatham Airport",11230
CYP,"Calbayog, Philippines: Calbayog Airport",11231
CYR,"Colonia, Uruguay: Laguna de Los Patos International",11232
CYS,"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field",11233
CYT,"Cape Yakataga, AK: Yakataga",11234
CYZ,"Cauayan, Philippines: Cauayan Airport",11235
CZ1,"Hradec Kralove, Czech Republic: Hradec Kralove Airport",16944
CZA,"Chichen Itza, Mexico: Chichen Itza International",11236
CZB,"Cruz Alta, Brazil: Cruz Alta Airport",11237
CZC,"Copper Center, AK: Copper Center 2",11238
CZE,"Coro, Venezuela: Jose Leonardo Chirino",11240
CZF,"Cape Romanzof, AK: Cape Romanzof LRRS",11241
CZH,"Corozal, Belize: Ranchito",11242
CZL,"Constantine, Algeria: Constantine/Ain El Bey",11243
CZM,"Cozumel, Mexico: Cozumel International",11244
CZN,"Chisana, AK: Chisana Airport",11245
CZO,"Chistochina, AK: Chistochina Airport",11246
CZP,"Cape Pole, AK: Cape Pole Airport",11247
CZS,"Cruzeiro Do Sul, Brazil: Cruzeiro Do Sul Airport",11248
CZU,"Corozal, Colombia: Las Brujas",11249
CZW,"Czestochowa, Poland: Czestochowy",11250
CZX,"Changzhou, China: Changzhou Benniu International",11251
DAB,"Daytona Beach, FL: Daytona Beach International",11252
DAC,"Dhaka, Bangladesh: Hazrat Shahjalal International",11253
DAD,"Danang, Vietnam: Danang International",11254
DAE,"Daet, Philippines: Daet Airport",11255
DAF,"Daup, Papua New Guinea: Daup Airport",11256
DAG,"Daggett, CA: Barstow/Daggett",11257
DAK,"Dakhla Oasis, Egypt: Dakhla",11258
DAL,"Dallas, TX: Dallas Love Field",11259
DAM,"Damascus, Syria: Damascus International",11260
DAN,"Danville, VA: Danville Regional",11261
DAR,"Dar Es Salaam, Tanzania: Julius Nyerere International",11262
DAT,"Datong, China: Datong Airport",11263
DAU,"Daru, Papua New Guinea: Daru Airport",11264
DAV,"David, Panama: Enrique Malek International",11265
DAX,"Daxian, China: Daxian Airport",11266
DAY,"Dayton, OH: James M Cox/Dayton International",11267
DBB,"Dabaa City, Egypt: Al Alamain International",11269
DBL,"Goa, India: Goa Airport",11957
GOI,"Goa, India: Goa Airport",11957
DBM,"Debra Marcos, Ethiopia: Debre Marcos",11271
DBN,"Dublin, GA: W H Bud Barron",11272
DBO,"Dubbo, Australia: Dubbo Airport",11273
DBQ,"Dubuque, IA: Dubuque Regional",11274
DBT,"Debra Tabor, Ethiopia: Debre Tabor",11275
DBV,"Dubrovnik, Croatia: Dubrovnik Airport",11276
DBY,"Dalby, Australia: Dalby Airport",11277
DCA,"Washington, DC: Ronald Reagan Washington National",11278
DCF,"Roseau, Dominica: Canefield",11279
DCK,"Dahl Creek, AK: Dahl Creek Airport",11280
DCN,"Derby, Australia: Curtin",16450
DCS,"Finningley, United Kingdom: RAF Finningley",11281
DCU,"Decatur, AL: Pryor Field Regional",11282
DDC,"Dodge City, KS: Dodge City Regional",11283
DDP,"Dorado, PR: Dorado Airport",11284
DE1,"Zweibrucken, Germany: Zweibruecken",11285
DE2,"Middletown, DE: Summit",16520
DE3,"Dover-Cheswold, DE: Delware Airpark",16666
DE4,"Bradenburg, Germany: Holzdorf",16670
DEA,"Dera Ghazi Khan, Pakistan: Farooq Ahmad Khan Leghari International",11286
DEB,"Debrecen, Hungary: Debrecen Airport",11287
DEC,"Decatur, IL: Decatur Airport",11288
DEH,"Decorah, IA: Decorah Municipal",11289
DEL,"Delhi, India: Indira Gandhi International",11290
DEM,"Dembi Dollo, Ethiopia: Dembi Dollo Airport",11291
DEN,"Denver, CO: Denver International",11292
DES,"Desroches, Seychelles: Desroches Airport",11294
DET,"Detroit, MI: Coleman A. Young Municipal",11295
DEZ,"Deir Ezzor, Syria: Al Jafrah/Deir Ezzor",11296
DFI,"Defiance, OH: Defiance Memorial",11297
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",11298
DGB,"Danger Bay, AK: Danger Bay Airport",11299
DGO,"Durango, Mexico: Durango International",11301
DGT,"Dumaguete, Philippines: Dumaguete Airport",11302
DGW,"Douglas, WY: Converse County",11303
DGX,"St Athan, United Kingdom: St Athan Airport",16943
DHA,"Dhahran, Saudi Arabia: King Abdulaziz AB",11304
DHB,"Deer Harbor, WA: Deer Harbor Marina",16603
DHF,"Al Dhafra, United Arab Emirates: Al Dhafra Air Base",10175
DHI,"Dhangadhi, Nepal: Dhangadhi Airport",11306
DHL,"Dhala, Yemen: Dhala Airport",11307
DHN,"Dothan, AL: Dothan Regional",11308
DHT,"Dalhart, TX: Dalhart Municipal",11309
DIB,"Dibrugarh, India: Dibrugarh Airport",11311
DIE,"Antsiranana, Madagascar: Arrachart",11312
DIG,"Shangri-La, China: Zhongdian",11313
DIJ,"Dijon, France: Dijon Longvic",11314
DIK,"Dickinson, ND: Dickinson - Theodore Roosevelt Regional",11315
DIL,"Dili, Timor-Leste: Presidente Nicolau Lobato International",11316
DIO,"Diomede Island, AK: Diomede Heliport",11317
DIR,"Dire Dawa, Ethiopia: Aba Tenna Dejazmatch Yilma",11318
DIS,"Dolisie, Congo (Brazaville): Dolisie Airport",11319
DIU,"Diu, India: Diu Airport",11320
DIV,"Divo, Cote d'Ivoire: Divo Airport",11321
DIY,"Diyarbakir, Turkey: Diyarbakir Airport",11322
DJB,"Jambi, Indonesia: Paalmerah",11323
DJE,"Djerba, Tunisia: Djerba Airport",11324
DJG,"Djanet, Algeria: Tiska",11325
DJJ,"Jayapura, Indonesia: Sentani",11326
DJN,"Delta Junction, AK: Delta Junction Airport",11327
DJO,"Daloa, Cote d'Ivoire: Daloa Airport",11328
DK1,"Kolding Vamdrup, Denmark: Kolding Vamdrup Airport",11329
DKI,"Dunk Island, Australia: Kyboola",11330
DKK,"Dunkirk, NY: Chautauqua County/Dunkirk",11331
DKR,"Dakar, Senegal: Leopold Sedar Senghor International",11332
DLA,"Douala, Cameroon: Douala Airport",11333
DLC,"Dalian, China: Zhoushuizi",11334
DLF,"Del Rio, TX: Laughlin AFB",11335
DLG,"Dillingham, AK: Dillingham Airport",11336
DLH,"Duluth, MN: Duluth International",11337
DLI,"Dalat, Vietnam: Lienkhang",11338
DLL,"Dillon, SC: Dillon County",11339
DLM,"Dalaman, Turkey: Dalaman Airport",11340
DLO,"Dolomi, AK: Dolomi Airport",11341
DLS,"The Dalles, OR: Columbia Gorge Regional/The Dalles Municipal",11342
DLU,"Dali City, China: Xiaguan",11343
DMA,"Tucson, AZ: Davis Monthan AFB",11344
DMB,"Taraz, Kazakhstan: Taraz Airport",16896
DME,"Moscow, Russia: Domodedovo",11345
DMK,"Bangkok, Thailand: Don Mueang International",10646
DMM,"Dammam, Saudi Arabia: King Fahd International",14380
QDM,"Dammam, Saudi Arabia: King Fahd International",14380
DMN,"Deming, NM: Deming Municipal",11348
DMO,"Sedalia, MO: Sedalia Regional",11349
DMU,"Dimapur, India: Manipur Road",11350
DNA,"Okinawa, Japan: Kadena AB",11351
